a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
1.4,-0.544855,0.686531,-0.520444,-0.544855,0.554182,-0.106186,0.0,3952960000.0,872076000.0,1533040000.0,-0.198762,-0.303193,0.0,29.0,3.342,8.51499,0.0,0.0,0.0,0.0
1.99875,0.521927,0.244846,0.107533,0.521927,-0.0378813,-0.0073338,2.0,14.0,7.98,2.03706,-0.194304,0.518696,0.0,9.0,4.45,2.02916,0.0,8.0,3.71986,1.48301
1.975,0.508934,0.356451,0.210107,0.508934,0.131497,-0.0197364,3.0,17.0,10.005,2.32055,-0.0713775,0.621861,0.0,11.0,5.905,2.49519,0.0,12.0,5.59721,2.028
3.55938,0.784508,0.587725,0.45802,0.784508,-0.0721037,0.0529744,9.0,23.0,16.0875,2.769,0.0198045,0.751582,2.0,17.0,9.33125,2.99734,0.0,20.0,10.5602,3.13231
4.12,0.762688,0.592188,0.454356,0.762688,0.0250894,-0.0122062,12.0,30.0,20.03,3.0934,-0.0485665,0.781796,2.0,21.0,12.0025,3.4659,0.0,15.0,7.51748,2.29769
4.922,0.789403,0.586732,0.450851,0.789403,-0.0966594,0.0514748,13.0,39.0,24.944,3.58732,-0.0167711,0.850933,5.0,29.0,15.184,3.80659,0.0,24.0,12.9689,3.4945
1.77875,0.346798,0.17609,0.0552397,0.346798,0.0634525,-0.0273438,0.0,65.0,8.0575,4.63079,0.052934,0.346892,0.0,9.0,4.39125,2.18075,0.0,4.0,1.85697,1.03716
2.115,0.056506,-0.0590357,0.018594,0.056506,-0.062428,0.0258487,0.0,21908.0,120.845,1544.52,0.0384319,0.411549,0.0,13.0,6.175,2.40715,0.0,8.0,3.56975,1.53142
2.1,0.408774,0.207951,0.0614416,0.408774,0.0490512,-0.0474719,0.0,2605810000.0,366446000.0,905865000.0,-0.06761,0.493767,2.0,22.0,10.5531,4.08622,0.0,17.0,7.68322,2.49144
1.065,0.44866,0.268673,0.109246,0.44866,0.0843581,-0.0491485,0.0,3419130000.0,178234000.0,431573000.0,-0.0559415,0.483188,2.0,28.0,12.355,3.64197,0.0,27.0,14.5234,4.0312
1.294,0.384591,0.146615,0.0752887,0.384591,-0.00152029,0.0227687,0.0,3757430000.0,843280000.0,1511330000.0,0.102314,0.310823,5.0,39.0,16.694,5.51402,0.0,38.0,23.0562,6.31851
1.72875,0.36848,0.198378,0.0848504,0.36848,0.0724354,-0.0112178,0.0,65.0,6.99375,2.93704,-0.0516584,0.231962,0.0,9.0,4.51625,2.13652,0.0,8.0,3.75796,1.47701
2.05,0.320322,-0.027037,-0.0620799,0.320322,-0.144466,-0.00670624,0.0,81.0,11.595,16.2902,0.105495,0.317805,0.0,12.0,6.285,2.38616,0.0,4.0,1.87204,1.02765
1.9375,0.474161,0.279891,0.120625,0.474161,0.0710325,-0.0471215,0.0,364573000.0,52411500.0,127904000.0,-0.0231688,0.23797,0.0,24.0,11.0687,4.43441,0.0,8.0,3.65,1.48822
1.08,0.529319,0.331071,0.228727,0.529319,0.0707014,0.0397234,0.0,4084570000.0,682872000.0,1517360000.0,0.0396043,0.410125,3.0,24.0,12.5775,3.51482,0.0,33.0,18.8168,5.20202
1.374,0.408894,0.257433,0.131787,0.408894,0.108355,-0.0077476,0.0,3959050000.0,881202000.0,1433890000.0,0.070308,0.326484,5.0,38.0,16.476,4.98412,0.0,19.0,9.02085,2.61101
1.635,0.340923,0.183005,0.135886,0.340923,0.0755585,0.0596887,0.0,65.0,8.14125,4.59117,-0.0608368,0.142452,0.0,10.0,4.645,2.09558,0.0,12.0,5.50408,1.85753
2.055,0.286309,-0.00474613,-0.0917676,0.286309,-0.0944622,-0.0695016,0.0,81.0,9.57,13.3479,0.030421,-0.0501853,0.0,16.0,7.16,3.0748,0.0,4.0,1.8202,1.03102
1.98125,0.462682,0.22051,0.139451,0.462682,0.00818834,0.0438643,0.0,3463690000.0,335550000.0,1024520000.0,0.0077088,0.279443,2.0,25.0,11.7906,5.1832,0.0,26.0,14.5777,4.14057
1.0075,0.536246,0.267683,0.0843433,0.536246,-0.0278995,-0.0677699,0.0,1839630000.0,326138000.0,702053000.0,0.0565355,0.486557,4.0,26.0,12.455,3.76271,0.0,12.0,5.6589,1.90428
